evaluations raw_y
142 -148.0000000000
151 -125.0000000000
169 -118.0000000000
173 -102.0000000000
186 -79.0000000000
199 -64.0000000000
206 -35.0000000000
230 -34.0000000000
260 -27.0000000000
261 -26.0000000000
317 -19.0000000000
323 -11.0000000000
324 4.0000000000
352 5.0000000000
409 6.0000000000
535 7.0000000000
5000 -8.0000000000
evaluations raw_y
1 -672.0000000000
5 -571.0000000000
15 -532.0000000000
33 -478.0000000000
34 -447.0000000000
49 -424.0000000000
50 -393.0000000000
55 -316.0000000000
79 -301.0000000000
80 -278.0000000000
85 -224.0000000000
112 -200.0000000000
113 -177.0000000000
114 -154.0000000000
144 -139.0000000000
151 -116.0000000000
162 -101.0000000000
166 -79.0000000000
170 -64.0000000000
220 -18.0000000000
230 -17.0000000000
257 -3.0000000000
441 -2.0000000000
619 -1.0000000000
678 6.0000000000
5000 -17.0000000000
evaluations raw_y
1 -679.0000000000
2 -424.0000000000
42 -370.0000000000
49 -347.0000000000
51 -324.0000000000
62 -316.0000000000
81 -293.0000000000
89 -278.0000000000
96 -262.0000000000
99 -154.0000000000
111 -131.0000000000
120 -123.0000000000
139 -116.0000000000
142 -108.0000000000
181 -100.0000000000
202 -78.0000000000
204 -71.0000000000
205 -62.0000000000
227 -32.0000000000
230 -25.0000000000
243 -17.0000000000
325 -11.0000000000
332 -10.0000000000
397 -3.0000000000
439 4.0000000000
456 5.0000000000
482 6.0000000000
5000 -1.0000000000
evaluations raw_y
1 -811.0000000000
2 -726.0000000000
3 -640.0000000000
5 -594.0000000000
8 -539.0000000000
11 -471.0000000000
33 -448.0000000000
51 -417.0000000000
54 -409.0000000000
65 -393.0000000000
66 -332.0000000000
81 -309.0000000000
94 -185.0000000000
139 -154.0000000000
141 -139.0000000000
155 -78.0000000000
194 -71.0000000000
195 -63.0000000000
207 -40.0000000000
235 -34.0000000000
238 -33.0000000000
239 -18.0000000000
267 -11.0000000000
276 -4.0000000000
326 3.0000000000
351 4.0000000000
411 5.0000000000
471 6.0000000000
5000 -17.0000000000
evaluations raw_y
1 -618.0000000000
5 -594.0000000000
7 -587.0000000000
18 -518.0000000000
30 -486.0000000000
34 -455.0000000000
36 -440.0000000000
43 -370.0000000000
49 -355.0000000000
51 -340.0000000000
68 -332.0000000000
75 -316.0000000000
79 -293.0000000000
83 -278.0000000000
87 -254.0000000000
99 -162.0000000000
139 -139.0000000000
147 -116.0000000000
149 -109.0000000000
189 -86.0000000000
200 -63.0000000000
221 -56.0000000000
229 -41.0000000000
231 -34.0000000000
237 -33.0000000000
238 -32.0000000000
259 -25.0000000000
262 -18.0000000000
270 -4.0000000000
279 -3.0000000000
328 3.0000000000
330 4.0000000000
350 5.0000000000
427 6.0000000000
5000 -17.0000000000
evaluations raw_y
1 -547.0000000000
3 -394.0000000000
31 -339.0000000000
51 -308.0000000000
61 -254.0000000000
98 -247.0000000000
110 -240.0000000000
113 -231.0000000000
115 -163.0000000000
147 -148.0000000000
148 -139.0000000000
157 -125.0000000000
169 -102.0000000000
170 -87.0000000000
177 -65.0000000000
178 -48.0000000000
204 -42.0000000000
217 -34.0000000000
228 -27.0000000000
229 -12.0000000000
230 -5.0000000000
259 -4.0000000000
261 -3.0000000000
288 3.0000000000
308 4.0000000000
351 5.0000000000
400 6.0000000000
410 7.0000000000
1013 8.0000000000
5000 -23.0000000000
