evaluations raw_y
28086 0.0170761078
28225 0.0170761072
28425 0.0170761070
28741 0.0170761063
28803 0.0170761061
28918 0.0170761060
28950 0.0170761056
29390 0.0170761053
29454 0.0170761052
29562 0.0170761048
30113 0.0170761047
30185 0.0170761043
30411 0.0170761041
30760 0.0170761040
31354 0.0170761039
32441 0.0170761038
41896 0.0170761036
50000 0.0170761038
evaluations raw_y
1 14.8603891230
5 11.2097378554
12 7.0524182190
20 5.2294300305
97 3.3623032414
277 2.8491345461
821 2.2815885446
1585 2.2169719037
4691 2.1455508975
4879 2.0884680784
4900 1.7421934578
5214 1.7016682837
5286 0.8493660005
5883 0.8233939020
5924 0.7484838281
5970 0.7096129200
5986 0.6237863293
6069 0.6080165315
6186 0.3917392381
6503 0.3896132499
6671 0.2630939535
6790 0.2566903421
6986 0.1764482757
7227 0.1671471807
7254 0.1657937247
7522 0.1656894121
7548 0.1429190104
7682 0.1384074658
7743 0.1197822287
7850 0.1020224922
8001 0.0897583261
8206 0.0860154546
8287 0.0847435474
8418 0.0834598674
8473 0.0680491494
8595 0.0612575572
8735 0.0598428125
8876 0.0561413911
8955 0.0462299867
9075 0.0332818584
9874 0.0277211931
10438 0.0235911272
10816 0.0232343175
10918 0.0231596349
11003 0.0229400062
11030 0.0222203109
11071 0.0214945300
11385 0.0214462044
11414 0.0210639828
11479 0.0205764665
11534 0.0205690310
11591 0.0204284664
11659 0.0198461534
11908 0.0196294802
11966 0.0196269088
12028 0.0194111148
12060 0.0183663500
12421 0.0179533331
12721 0.0179507477
12787 0.0178869993
12822 0.0174624510
12893 0.0172418360
12926 0.0170098990
13165 0.0169506016
13193 0.0168952961
13381 0.0167545215
13414 0.0160487983
14393 0.0160474892
14399 0.0159716536
14551 0.0159640953
14679 0.0159596965
14721 0.0159315564
14912 0.0159019939
14980 0.0158206874
14986 0.0158170120
15129 0.0157700065
15465 0.0157573308
15664 0.0157547583
15673 0.0157451631
15874 0.0157134454
16021 0.0156987458
16206 0.0156735075
16707 0.0156694805
16789 0.0156577107
16850 0.0156369343
16992 0.0156060553
17091 0.0156052116
17299 0.0155827934
17867 0.0155780358
17966 0.0155722033
17991 0.0155679725
18602 0.0155671039
18653 0.0155627394
18848 0.0155623000
18959 0.0155621094
19090 0.0155596679
19364 0.0155590147
19405 0.0155579031
19553 0.0155574908
19614 0.0155572938
19684 0.0155565658
19695 0.0155556105
19725 0.0155554150
19982 0.0155549494
20035 0.0155548166
20064 0.0155546202
20065 0.0155536589
20163 0.0155534982
20270 0.0155526363
20304 0.0155525823
20334 0.0155513455
20764 0.0155509899
21091 0.0155508852
21209 0.0155502997
21331 0.0155499163
21653 0.0155495532
22367 0.0155495122
22608 0.0155494251
22639 0.0155493660
22707 0.0155493571
22735 0.0155492839
22737 0.0155491691
23019 0.0155491303
23022 0.0155490704
23073 0.0155490269
23473 0.0155489855
23543 0.0155488903
23646 0.0155488634
23710 0.0155488338
24024 0.0155488170
24185 0.0155488081
24450 0.0155487834
24580 0.0155487643
24672 0.0155487632
24819 0.0155487511
24834 0.0155487391
25059 0.0155487222
25142 0.0155486953
25207 0.0155486925
25774 0.0155486856
26028 0.0155486848
26090 0.0155486807
26120 0.0155486795
26193 0.0155486752
26683 0.0155486711
26773 0.0155486709
26814 0.0155486699
26883 0.0155486692
26933 0.0155486687
27075 0.0155486685
27173 0.0155486663
27204 0.0155486627
27339 0.0155486608
27456 0.0155486584
27617 0.0155486580
27751 0.0155486577
27956 0.0155486576
28051 0.0155486560
28157 0.0155486556
28732 0.0155486552
28733 0.0155486549
28781 0.0155486529
29264 0.0155486526
29416 0.0155486523
29640 0.0155486522
29723 0.0155486518
30066 0.0155486515
30289 0.0155486513
30519 0.0155486511
30885 0.0155486508
31830 0.0155486507
38615 0.0155486506
50000 0.0155486508
evaluations raw_y
1 12.9774219305
2 12.5697368189
4 9.2674221413
8 9.1667876832
13 8.4785380061
31 6.2357453170
46 3.1050336877
310 2.6837841996
550 2.1743424750
2068 2.0736998848
4966 1.2345299041
5698 1.1092151112
