evaluations raw_y
38101 0.0736031000
38946 0.0736030998
40020 0.0736030997
40672 0.0736030995
42126 0.0736030993
42801 0.0736030992
43177 0.0736030991
44252 0.0736030990
44981 0.0736030988
45891 0.0736030987
46070 0.0736030986
46697 0.0736030985
47730 0.0736030984
48646 0.0736030983
49936 0.0736030981
50000 0.0736030985
evaluations raw_y
1 8.2626917580
10 7.5949834876
62 6.8485091453
79 4.4074187766
188 4.2938392256
350 4.1673056443
368 3.7791456115
412 2.3909242412
948 1.9630751712
2986 1.8148398032
3253 1.6441794882
3285 1.1034321072
3734 1.0892067381
3810 0.8780685421
3818 0.7477206441
4010 0.7231817309
4097 0.6869012664
4234 0.3686246714
4564 0.3298920707
4630 0.3250593440
4726 0.3228168216
4889 0.3051952343
5064 0.2915558058
5075 0.2712887293
5103 0.2584531945
5141 0.2410300363
5145 0.2309223268
5378 0.2295708790
5464 0.2130089913
5538 0.1972499111
5656 0.1966446814
5747 0.1818272282
5755 0.1783807170
5803 0.1781009314
5861 0.1543871729
5978 0.1469606252
6065 0.1378516019
6174 0.1357216969
6628 0.1313845977
6638 0.1295896349
6780 0.1269435784
6809 0.1237310863
6846 0.1209277205
7019 0.1196951937
7152 0.1171171202
7277 0.1149777134
7434 0.1126559980
7894 0.1125176837
7947 0.1122477103
8021 0.1122155767
8136 0.1110409958
8271 0.1099886845
8759 0.1099149624
8760 0.1097422126
8805 0.1094517831
8806 0.1093764642
8855 0.1093329784
8926 0.1092952634
8930 0.1091610423
8955 0.1089937837
9107 0.1088460107
9180 0.1086770211
9244 0.1084399749
9481 0.1083523521
9508 0.1083062582
9552 0.1082689184
9571 0.1082126446
9620 0.1079910280
9640 0.1076746564
10204 0.1076580912
10217 0.1076573100
10273 0.1076096725
10331 0.1075776417
10505 0.1075576492
10512 0.1075211609
10603 0.1074896345
10647 0.1074572655
10817 0.1074399772
10938 0.1074363228
10953 0.1074313439
10960 0.1074267157
11022 0.1074201701
11097 0.1073838541
11240 0.1073765015
11366 0.1073758167
11399 0.1073750123
11428 0.1073590167
11431 0.1073554569
11456 0.1073462744
11465 0.1073328128
11601 0.1073307965
11727 0.1072986756
12499 0.1072963101
12575 0.1072946481
12587 0.1072897454
12699 0.1072882126
12877 0.1072842803
12895 0.1072825036
12972 0.1072822556
13092 0.1072820027
13098 0.1072758610
13180 0.1072738518
13547 0.1072731629
13565 0.1072730592
13597 0.1072719894
13697 0.1072712063
13787 0.1072708683
14208 0.1072701598
14293 0.1072697070
14377 0.1072695950
14452 0.1072695226
14619 0.1072695052
14686 0.1072694430
14795 0.1072693805
14820 0.1072692694
14861 0.1072692627
14895 0.1072690931
14943 0.1072688277
15125 0.1072688141
15155 0.1072687233
15459 0.1072685262
15687 0.1072685073
15695 0.1072684453
15735 0.1072683873
15744 0.1072683743
15881 0.1072681706
15906 0.1072681328
15954 0.1072681237
16207 0.1072680090
16612 0.1072679972
16638 0.1072679967
16642 0.1072679896
16662 0.1072679567
16672 0.1072679557
16720 0.1072679469
16733 0.1072679070
16793 0.1072679052
16817 0.1072678990
16934 0.1072678919
16939 0.1072678897
16955 0.1072678642
16983 0.1072678464
17013 0.1072678333
17059 0.1072678252
17115 0.1072677965
17345 0.1072677956
17394 0.1072677815
17482 0.1072677723
17736 0.1072677691
17756 0.1072677587
18000 0.1072677562
18166 0.1072677523
18191 0.1072677486
18271 0.1072677457
18274 0.1072677385
18440 0.1072677379
18470 0.1072677359
18680 0.1072677322
18754 0.1072677296
18762 0.1072677291
18790 0.1072677282
18923 0.1072677264
18934 0.1072677259
19140 0.1072677248
19172 0.1072677237
19242 0.1072677233
19279 0.1072677230
19429 0.1072677222
19435 0.1072677212
19635 0.1072677205
19642 0.1072677198
19688 0.1072677196
19829 0.1072677186
19989 0.1072677184
20215 0.1072677178
20456 0.1072677177
20498 0.1072677173
20708 0.1072677170
